id_pedido,id_cliente,nombre_cliente,producto,categoria,region,fecha_pedido,ingreso,cantidad,descuento,estatus
PED-1000,CLI-018,Cecilia Arce,Chamarra,Ropa,Norte,2024-12-02,360.4,2,0.0,completado
PED-1001,CLI-086,Luis Herrera,Bicicleta,Deportes,Norte,2024-10-30,526.47,2,,completado
PED-1002,CLI-071,Elena Quiroz,Licuadora,Hogar,Occidente,2024-07-03,566.05,3,0.15,completado
PED-1003,CLI-028,Hector Silva,Jeans,Ropa,Centro,2024-12-12,153.36,5,,completado
PED-1004,CLI-006,Marisol Vega,Monitor,Electronica,Norte,2024-10-31,618.43,2,0.05,completado
PED-1005,CLI-029,Elena Quiroz,Juego de sabanas,Hogar,Occidente,2024-07-30,210.19,5,,pendiente
PED-1006,CLI-078,Jorge Estrada,Chamarra,Ropa,Occidente,2024-07-06,,4,0.2,completado
PED-1007,CLI-008,Diana Rojas,Chamarra,Ropa,Centro,2024-03-01,370.51,3,,completado
PED-1008,CLI-028,Nestor Aguilar,Monitor,Electronica,Sur,2024-05-18,1170.92,4,0.0,completado
PED-1009,CLI-093,Jorge Estrada,Bicicleta,Deportes,Centro,2024-12-16,1689.27,2,0.2,completado
PED-1010,CLI-079,Marisol Vega,Palo de golf,Deportes,Sur,2024-04-15,881.87,3,,completado
PED-1011,CLI-115,Sergio Barrios,Lampara,Hogar,Norte,2024-08-14,150.77,2,0.15,completado
PED-1012,CLI-011,Felipe Campos,Sueter,Ropa,Centro,2024-10-19,242.01,3,0.05,cancelado
PED-1013,CLI-087,Rocio Cabrera,Licuadora,Hogar,Norte,2024-07-08,537.37,4,0.1,completado
PED-1014,CLI-021,Ulises Perea,Bicicleta,Deportes,Sur,2024-07-09,,1,0.2,completado
PED-1015,CLI-102,Carlos Bello,Audifonos,Electronica,Norte,2024-09-20,,4,0.0,cancelado
PED-1016,CLI-079,Valeria Nino,Sueter,Ropa,Occidente,2024-05-01,833.27,3,0.15,completado
PED-1017,CLI-038,Diana Rojas,Monitor,Electronica,Norte,2024-02-01,1043.6,4,0.2,completado
PED-1018,CLI-053,Damian Ortiz,Licuadora,Hogar,Occidente,2024-12-07,241.3,3,0.1,completado
PED-1019,CLI-102,Damian Ortiz,Sueter,Ropa,Norte,2024-04-08,482.06,3,0.2,completado
PED-1020,CLI-077,Quetzal Marin,Chamarra,Ropa,Centro,2024-01-05,385.53,5,0.15,completado
PED-1021,CLI-002,Jorge Estrada,Palo de golf,Deportes,Occidente,2024-09-26,809.01,5,0.15,completado
PED-1022,CLI-014,Ximena Gil,Juego de sabanas,Hogar,Norte,2024-11-01,433.36,3,0.1,completado
PED-1023,CLI-082,Bruno Cortes,Lampara,Hogar,Norte,2024-03-30,344.49,5,0.0,completado
PED-1024,CLI-018,Irene Padilla,Chamarra,Ropa,Norte,2024-08-27,,3,0.0,cancelado
PED-1025,CLI-116,Hector Silva,Laptop,Electronica,Occidente,2024-03-30,458.93,1,,pendiente
PED-1026,CLI-097,Yolanda Prieto,Bicicleta,Deportes,Norte,2024-11-01,3196.63,4,0.05,completado
PED-1027,CLI-066,Sergio Barrios,Monitor,Electronica,Occidente,2024-06-12,445.55,2,0.0,completado
PED-1028,CLI-089,Pablo Duarte,Laptop,Electronica,Sur,2024-12-23,2387.02,5,,completado
PED-1029,CLI-056,Valeria Nino,Jeans,Ropa,Norte,2024-05-15,73.73,1,0.0,pendiente
PED-1030,CLI-023,Hector Silva,Jeans,Ropa,Centro,2024-08-20,466.93,4,,pendiente
PED-1031,CLI-065,Ulises Perea,Juego de sabanas,Hogar,Sur,2024-06-10,117.07,1,0.2,completado
PED-1032,CLI-018,Carlos Bello,Palo de golf,Deportes,Norte,2024-02-13,210.84,1,,completado
PED-1033,CLI-049,Tania Lozano,Palo de golf,Deportes,Centro,2024-02-26,325.16,2,0.05,completado
PED-1034,CLI-027,Irene Padilla,Bicicleta,Deportes,Centro,2024-06-01,2577.01,5,0.0,completado
PED-1035,CLI-066,Tania Lozano,Laptop,Electronica,Sur,2024-08-13,,2,0.0,completado
PED-1036,CLI-095,Pablo Duarte,Monitor,Electronica,Centro,2024-05-11,718.33,2,0.15,completado
PED-1037,CLI-089,Pablo Duarte,Bicicleta,Deportes,Occidente,2024-03-30,3222.39,4,,completado
PED-1038,CLI-101,Bruno Cortes,Audifonos,Electronica,Norte,2024-11-03,243.42,3,0.0,completado
PED-1039,CLI-008,Walter Cuevas,Jeans,Ropa,Norte,2024-06-08,,2,0.15,completado
PED-1040,CLI-103,Ulises Perea,Bicicleta,Deportes,Centro,2024-02-13,1513.27,4,,completado
PED-1041,CLI-093,Ulises Perea,Licuadora,Hogar,Sur,2024-10-01,754.57,,0.05,completado
PED-1042,CLI-077,Olivia Ramos,Jeans,Ropa,Norte,2024-02-29,141.31,5,0.05,completado
PED-1043,CLI-097,Elena Quiroz,Palo de golf,Deportes,Norte,2024-07-02,1714.73,5,0.05,pendiente
PED-1044,CLI-048,Olivia Ramos,Licuadora,Hogar,Norte,2024-06-20,233.65,5,0.0,completado
PED-1045,CLI-024,Irene Padilla,Licuadora,Hogar,Centro,2024-12-29,112.45,1,0.1,completado
PED-1046,CLI-060,Zacarias Luna,Palo de golf,Deportes,Sur,2024-08-20,894.29,4,,pendiente
PED-1047,CLI-090,Quetzal Marin,Palo de golf,Deportes,Centro,2024-12-05,867.0,4,0.2,completado
PED-1048,CLI-058,Monica Salas,Jeans,Ropa,Centro,2024-11-27,219.3,2,0.0,completado
PED-1049,CLI-063,Carlos Bello,Monitor,Electronica,Centro,2024-12-30,1478.48,5,0.2,completado
PED-1050,CLI-076,Hector Silva,Laptop,Electronica,Occidente,2024-01-10,1923.12,4,0.15,completado
PED-1051,CLI-050,Irene Padilla,Monitor,Electronica,Sur,2024-07-10,878.91,3,0.1,completado
PED-1052,CLI-118,Tania Lozano,Chamarra,Ropa,Sur,2024-11-25,625.19,4,,pendiente
PED-1053,CLI-061,Valeria Nino,Jeans,Ropa,Centro,2024-08-25,557.13,5,0.1,completado
PED-1054,CLI-079,Yolanda Prieto,Jeans,Ropa,Sur,2024-09-24,,5,0.1,completado
PED-1055,CLI-116,Olivia Ramos,Chamarra,Ropa,Occidente,2024-11-09,130.1,2,0.05,pendiente
PED-1056,CLI-118,Gabriela Nunez,Bicicleta,Deportes,Occidente,2024-07-21,728.4,2,0.0,completado
PED-1057,CLI-115,Luis Herrera,Sueter,Ropa,Norte,2024-12-06,355.55,5,,completado
PED-1058,CLI-086,Luis Fernandez,Monitor,Electronica,Norte,2024-10-19,1966.57,4,0.2,completado
PED-1059,CLI-115,Pablo Duarte,Monitor,Electronica,Sur,2024-07-12,867.0,2,0.0,completado
PED-1060,CLI-049,Monica Salas,Jeans,Ropa,Centro,2024-11-07,465.21,4,,completado
PED-1061,CLI-014,Irene Padilla,Bicicleta,Deportes,Occidente,2024-11-12,1953.53,5,,completado
PED-1062,CLI-011,Quetzal Marin,Sueter,Ropa,Centro,2024-12-30,208.52,4,,pendiente
PED-1063,CLI-103,Valeria Nino,Chamarra,Ropa,Centro,2024-01-23,237.95,3,0.05,cancelado
PED-1064,CLI-110,Marisol Vega,Sueter,Ropa,Norte,2024-01-25,159.68,3,,completado
PED-1065,CLI-054,Monica Salas,Sueter,Ropa,Occidente,2024-12-17,59.02,1,0.15,completado
PED-1066,CLI-065,Quetzal Marin,Sueter,Ropa,Occidente,2024-04-28,150.8,3,0.0,completado
PED-1067,CLI-004,Irene Padilla,Palo de golf,Deportes,Norte,2024-04-19,849.25,3,0.0,completado
PED-1068,CLI-019,Hector Silva,Monitor,Electronica,Occidente,2024-10-16,446.23,1,0.1,completado
PED-1069,CLI-031,Yolanda Prieto,Bicicleta,Deportes,Occidente,2024-04-07,1658.76,3,0.15,completado
PED-1070,CLI-023,Jorge Estrada,Audifonos,Electronica,Centro,2024-12-14,266.53,3,0.2,completado
PED-1071,CLI-036,Luis Herrera,Palo de golf,Deportes,Norte,2024-07-27,337.83,3,,completado
PED-1072,CLI-055,Zacarias Luna,Licuadora,Hogar,Centro,2024-02-10,420.87,5,0.15,completado
PED-1073,CLI-059,Luis Fernandez,Audifonos,Electronica,Centro,2024-02-25,108.77,1,0.0,completado
PED-1074,CLI-014,Irene Padilla,Monitor,Electronica,Centro,2024-06-27,,2,0.05,completado
PED-1075,CLI-028,Jorge Estrada,Palo de golf,Deportes,Norte,2024-11-29,943.0,3,0.05,completado
PED-1076,CLI-082,Olivia Ramos,Palo de golf,Deportes,Centro,2024-01-18,,5,0.2,cancelado
PED-1077,CLI-003,Cecilia Arce,Jeans,Ropa,Norte,2024-12-06,150.51,4,,completado
PED-1078,CLI-004,Marisol Vega,Sueter,Ropa,Centro,2024-07-26,169.62,5,0.15,completado
PED-1079,CLI-055,Diana Rojas,Chamarra,Ropa,Sur,2024-12-29,308.48,5,,completado
PED-1080,CLI-031,Cecilia Arce,Jeans,Ropa,Centro,2024-12-25,222.3,2,0.15,completado
PED-1081,CLI-036,Gabriela Nunez,Palo de golf,Deportes,Centro,2024-08-20,924.12,5,,completado
PED-1082,CLI-010,Valeria Nino,Licuadora,Hogar,Sur,2024-03-01,181.88,5,0.2,completado
PED-1083,CLI-018,Rocio Cabrera,Laptop,Electronica,Norte,2024-10-10,2928.13,4,0.0,pendiente
PED-1084,CLI-084,Hector Silva,Monitor,Electronica,Norte,2024-01-02,957.29,,0.1,cancelado
PED-1085,CLI-011,Bruno Cortes,Monitor,Electronica,Centro,2024-03-01,1681.91,5,0.1,pendiente
PED-1086,CLI-033,Karla Mendoza,Jeans,Ropa,Occidente,2024-08-30,35.53,1,0.0,completado
PED-1087,CLI-101,Hector Silva,Bicicleta,Deportes,Sur,2024-03-08,505.25,1,,pendiente
PED-1088,CLI-048,Irene Padilla,Laptop,Electronica,Occidente,2024-10-03,2387.2,3,0.0,completado
PED-1089,CLI-044,Pablo Duarte,Balon de futbol,Deportes,Centro,2024-12-08,97.73,3,0.0,pendiente
PED-1090,CLI-107,Karla Mendoza,Laptop,Electronica,Norte,2024-12-16,2571.98,4,0.15,completado
PED-1091,CLI-042,Olivia Ramos,Jeans,Ropa,Sur,2024-08-23,120.59,1,0.2,completado
PED-1092,CLI-046,Quetzal Marin,Bicicleta,Deportes,Centro,2024-10-12,2165.2,4,0.05,completado
PED-1093,CLI-061,Marisol Vega,Palo de golf,Deportes,Norte,2024-06-06,350.65,1,,pendiente
PED-1094,CLI-003,Cecilia Arce,Palo de golf,Deportes,Centro,2024-11-19,967.4,3,,completado
PED-1095,CLI-002,Sergio Barrios,Sueter,Ropa,Occidente,2024-07-03,138.51,2,0.05,completado
PED-1096,CLI-024,Jorge Estrada,Palo de golf,Deportes,Sur,2024-02-29,178.45,1,0.0,completado
PED-1097,CLI-057,Walter Cuevas,Monitor,Electronica,Occidente,2024-05-05,931.69,2,,completado
PED-1098,CLI-025,Nestor Aguilar,Monitor,Electronica,Norte,2024-04-04,734.3,3,,completado
PED-1099,CLI-107,Carlos Bello,Juego de sabanas,Hogar,Norte,2024-02-19,394.83,3,,completado
PED-1100,CLI-092,Sergio Barrios,Lampara,Hogar,Occidente,2024-12-24,181.8,2,,cancelado
PED-1101,CLI-052,Marisol Vega,Jeans,Ropa,Occidente,2024-09-28,39.91,1,0.1,completado
PED-1102,CLI-066,Carlos Bello,Audifonos,Electronica,Centro,2024-11-06,131.44,3,0.1,completado
PED-1103,CLI-014,Walter Cuevas,Juego de sabanas,Hogar,Sur,2024-01-16,223.79,4,0.0,completado
PED-1104,CLI-113,Luis Fernandez,Chamarra,Ropa,Occidente,2024-04-06,335.24,4,0.1,completado
PED-1105,CLI-106,Valeria Nino,Jeans,Ropa,Occidente,2024-07-28,66.21,1,0.2,completado
PED-1106,CLI-041,Irene Padilla,Bicicleta,Deportes,Occidente,2024-02-28,517.77,4,0.0,completado
PED-1107,CLI-055,Pablo Duarte,Audifonos,Electronica,Centro,2024-10-28,653.16,5,0.05,completado
PED-1108,CLI-016,Zacarias Luna,Monitor,Electronica,Norte,2024-12-13,505.89,2,0.05,completado
PED-1109,CLI-046,Carlos Bello,Lampara,Hogar,Occidente,2024-01-01,91.55,3,,completado
PED-1110,CLI-073,Tania Lozano,Bicicleta,Deportes,Occidente,2024-03-09,2304.35,5,0.0,completado
PED-1111,CLI-100,Cecilia Arce,Audifonos,Electronica,Centro,2024-07-23,619.73,5,,completado
PED-1112,CLI-042,Tania Lozano,Palo de golf,Deportes,Norte,2024-10-16,1496.19,5,0.0,pendiente
PED-1113,CLI-067,Elena Quiroz,Sueter,Ropa,Centro,2024-11-16,289.9,5,0.0,completado
PED-1114,CLI-055,Olivia Ramos,Laptop,Electronica,Occidente,2024-05-23,863.34,2,0.1,completado
PED-1115,CLI-079,Rocio Cabrera,Licuadora,Hogar,Centro,2024-08-12,219.9,2,0.2,completado
PED-1116,CLI-042,Rocio Cabrera,Chamarra,Ropa,Centro,2024-01-15,266.23,3,0.0,pendiente
PED-1117,CLI-091,Tania Lozano,Jeans,Ropa,Centro,2024-05-11,559.23,5,0.2,completado
