id_cliente,nombre_cliente,email,email_valido,telefono,fecha_registro,ingreso_anual,pais,edad,activo
C0038,Sofia Delgado,sofia.delgado@ejemplo.com,True,(555) 176-5430,2021-10-10,174238.65,United Kingdom,66,False
C0026,Javier Nava,javier.nava@ejemplo.com,True,(555) 272-4688,2021-05-12,224378.35,Mexico,66,False
C0010,Roberto Caceres,roberto.caceres@ejemplo.com.mx,True,(555) 833-3833,2022-05-07,23595.5,United Kingdom,36,True
C0015,Paola Sierra,paola.sierra@ejemplo.com,True,(555) 566-6775,2023-02-19,39730.09,Mexico,64,True
C0044,Natalia Rios,natalia.rios@ejemplo.com,True,(555) 703-3016,2022-06-13,56747.24,United States,26,True
C0045,Fernando Castro,fernando.castro@ejemplo.com,True,(555) 206-7458,2024-06-17,32869.12,Mexico,,True
C0032,Juan Perez,juan.perez@ejemplo.com,True,(555) 116-2252,2022-08-06,136527.05,United States,31,True
C0005,Luisa Martinez,luisa.martinez@ejemplo.com,True,(555) 354-4182,2023-10-15,47026.9,Mexico,58,True
C0040,Laura Mejia,laura.mejia@ejemplo.com.mx,True,(555) 221-8165,2023-07-05,84405.78,United Kingdom,30,True
C0034,Ana Gomez,correo_sin_arroba.com,False,(555) 188-7306,2022-10-06,237050.04,United States,71,True
C0047,Hugo Benitez,hugo.benitez@ejemplo.com,True,(555) 115-3475,2021-08-21,201541.24,Mexico,38,False
C0013,Natalia Rios,natalia.rios@ejemplo.com.mx,True,(555) 713-1667,2024-02-21,224291.78,United States,,True
C0004,Carlos Ruiz,carlos.ruiz@ejemplo.com.mx,True,(555) 070-5210,2024-09-12,26653.42,United States,41,True
C0042,Elena Vargas,elena.vargas@ejemplo.com,True,(555) 882-6142,2022-12-31,90070.89,United States,,True
C0024,Oscar Villa,oscar.villa@ejemplo.com,True,(555) 382-8212,2022-04-30,177409.84,United States,25,True
C0020,Alberto Nunez,,False,(555) 680-7485,2024-06-11,134874.14,United Kingdom,27,True
C0030,Ricardo Ponce,ricardo.ponce@ejemplo.com,True,(555) 763-7417,2022-04-26,137252.33,United Kingdom,68,True
C0051,Alberto Nunez,alberto.nunez@ejemplo.com,True,(555) 070-4762,2022-12-07,112626.21,United States,48,True
C0039,Miguel Angel Torres,miguel.torres@ejemplo.com,True,(555) 321-6047,2023-12-03,62354.47,United Kingdom,59,False
